Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR022075,2014-04-04 10:36:28,2014-04-04 10:36:28,22720100,4589460200,22720100,202,2656,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR022/ERR022075/ERR022075.sra,ERX008638,CT1093,WGS,RANDOM,GENOMIC,PAIRED,311,0,ILLUMINA,Illumina Genome Analyzer IIx,ERP000388,PRJEB2323,0,204041,ERS001423,SAMEA779983,511145,Escherichia coli str. K-12 substr. MG1655,E. coli K-12 strain MG1655,,,,,,,no,,,,,ILLUMINA,ERA015091,,public,320E85D11E6D72DD0634DBAD7792D790,9CF88F4BBCA990CF9EF5275462253140
ERR376617,2013-12-10 01:28:10,2013-12-10 01:28:10,11636352,2327270400,11636352,200,1039,assembly,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR376/ERR376617/ERR376617.sra,ERX348994,7229359,MeDIP-Seq,other,GENOMIC,PAIRED,220,58,ILLUMINA,Illumina HiSeq 2000,ERP002481,PRJEB1803,0,231248,ERS237608,SAMEA2064516,511145,Escherichia coli str. K-12 substr. MG1655,Escherichia coli str. K-12 substr. MG1655,,,,,,,no,,,,,SC,ERA269036,,public,4AF1FEFAAB3E2ED741B2A411E3A78765,DA2B5AD4068B5B7B9F4AA3F8B74AC38E
ERR376618,2013-12-11 01:42:14,2013-12-11 01:42:14,8953564,1790712800,8953564,200,1213,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR376/ERR376618/ERR376618.sra,ERX348995,7229360,MeDIP-Seq,other,GENOMIC,PAIRED,220,58,ILLUMINA,Illumina HiSeq 2000,ERP002481,PRJEB1803,0,231248,ERS237609,SAMEA2064575,511145,Escherichia coli str. K-12 substr. MG1655,Escherichia coli str. K-12 substr. MG1655,,,,,,,no,,,,,SC,ERA269036,,public,6C4E22F6E9206FF0339BC9BC87A48044,473180FCB1121812A27D5E4B2BE454D1
ERR376619,2013-12-10 01:28:10,2013-12-10 01:28:10,15179753,3035950600,15179753,200,1351,assembly,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR376/ERR376619/ERR376619.sra,ERX348996,7229361,MeDIP-Seq,other,GENOMIC,PAIRED,220,58,ILLUMINA,Illumina HiSeq 2000,ERP002481,PRJEB1803,0,231248,ERS237610,SAMEA2064335,511145,Escherichia coli str. K-12 substr. MG1655,Escherichia coli str. K-12 substr. MG1655,,,,,,,no,,,,,SC,ERA269036,,public,4364A1CC3AF824A374B2B5044A822CBF,22119ADF5A2C11BED85183D4133E6B26
ERR376620,2013-12-11 01:42:14,2013-12-11 01:42:14,9297957,1859591400,9297957,200,1243,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR376/ERR376620/ERR376620.sra,ERX348997,7229362,MeDIP-Seq,other,GENOMIC,PAIRED,220,58,ILLUMINA,Illumina HiSeq 2000,ERP002481,PRJEB1803,0,231248,ERS237611,SAMEA2064517,511145,Escherichia coli str. K-12 substr. MG1655,Escherichia coli str. K-12 substr. MG1655,,,,,,,no,,,,,SC,ERA269036,,public,B93E9EDC418C09065F12253384616449,A2CED68233989C5D72FA09B5E360B12F
ERR376621,2013-12-11 01:42:14,2013-12-11 01:42:14,13629123,2725824600,13629123,200,1776,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR376/ERR376621/ERR376621.sra,ERX348998,7229363,MeDIP-Seq,other,GENOMIC,PAIRED,220,58,ILLUMINA,Illumina HiSeq 2000,ERP002481,PRJEB1803,0,231248,ERS237612,SAMEA2064576,511145,Escherichia coli str. K-12 substr. MG1655,Escherichia coli str. K-12 substr. MG1655,,,,,,,no,,,,,SC,ERA269036,,public,DAC6F9EEC3681D2097FB00394B4E3771,1E407521C44C4AFB189BF33CCA983804
ERR376622,2013-12-11 01:42:14,2013-12-11 01:42:14,8087519,1617503800,8087519,200,1082,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR376/ERR376622/ERR376622.sra,ERX348999,7229364,MeDIP-Seq,other,GENOMIC,PAIRED,220,58,ILLUMINA,Illumina HiSeq 2000,ERP002481,PRJEB1803,0,231248,ERS237613,SAMEA2064336,511145,Escherichia coli str. K-12 substr. MG1655,Escherichia coli str. K-12 substr. MG1655,,,,,,,no,,,,,SC,ERA269036,,public,73358877A225BBBB90BECE6DE32EF13D,7BAD10C14226F9B8AE69B225DC690EEE
ERR376623,2013-12-11 01:42:14,2013-12-11 01:42:14,11029616,2205923200,11029616,200,1372,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR376/ERR376623/ERR376623.sra,ERX349000,7229365,MeDIP-Seq,other,GENOMIC,PAIRED,220,58,ILLUMINA,Illumina HiSeq 2000,ERP002481,PRJEB1803,0,231248,ERS237614,SAMEA2064518,511145,Escherichia coli str. K-12 substr. MG1655,Escherichia coli str. K-12 substr. MG1655,,,,,,,no,,,,,SC,ERA269036,,public,631FBE0EAFD67762830FCC9D0C058297,A3DB9DF71CA31898859F9002EE0A9257
ERR376624,2013-12-11 01:42:14,2013-12-11 01:42:14,11780483,2356096600,11780483,200,1483,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR376/ERR376624/ERR376624.sra,ERX349001,7229366,MeDIP-Seq,other,GENOMIC,PAIRED,220,58,ILLUMINA,Illumina HiSeq 2000,ERP002481,PRJEB1803,0,231248,ERS237615,SAMEA2064577,511145,Escherichia coli str. K-12 substr. MG1655,Escherichia coli str. K-12 substr. MG1655,,,,,,,no,,,,,SC,ERA269036,,public,7B1D707360F5D791838CFAC82EBD6978,C2F609256163AB817F9776B3C2CDA363
ERR376625,2013-12-11 01:42:14,2013-12-11 01:42:14,10721876,2144375200,10721876,200,1353,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR376/ERR376625/ERR376625.sra,ERX349002,7229367,MeDIP-Seq,other,GENOMIC,PAIRED,220,58,ILLUMINA,Illumina HiSeq 2000,ERP002481,PRJEB1803,0,231248,ERS237616,SAMEA2064337,511145,Escherichia coli str. K-12 substr. MG1655,Escherichia coli str. K-12 substr. MG1655,,,,,,,no,,,,,SC,ERA269036,,public,764ABF87320E7F089BAAFF9773C7ED83,F622843697D9D9E4F45D4C78F59E7333
